sep=,
"Date","Fans"
"2023-10-01","328144"
"2023-10-02","328191"
"2023-10-03","328212"
"2023-10-04","328240"
"2023-10-05","328250"
"2023-10-06","328340"
"2023-10-07","328398"
"2023-10-08","328352"
"2023-10-09","328411"
"2023-10-10","328530"
"2023-10-11","328572"
"2023-10-12","328639"
"2023-10-13","328694"
"2023-10-14","328752"
"2023-10-15","328779"
"2023-10-16","328793"
"2023-10-17","328846"
"2023-10-18","328915"
"2023-10-19","328883"
"2023-10-20","328903"
"2023-10-21","328940"
"2023-10-22","328973"
"2023-10-23","328997"
"2023-10-24","329047"
"2023-10-25","329077"
"2023-10-26","329121"
"2023-10-27","329134"
"2023-10-28","329152"
"2023-10-29","329145"
"2023-10-30","329187"
"2023-10-31","329208"
