sep=,
"Date","Reach","Impressions"
"2023-10-01","1335","2953"
"2023-10-02","932","3657"
"2023-10-03","782","7631"
"2023-10-04","4460","3516"
"2023-10-05","1240","17872"
"2023-10-06","5864","16329"
"2023-10-07","2656","3448"
"2023-10-08","1191","9411"
"2023-10-09","4165","20564"
"2023-10-10","11930","30401"
"2023-10-11","17478","44812"
"2023-10-12","21237","34474"
"2023-10-13","15989","28949"
"2023-10-14","9642","36718"
"2023-10-15","17295","8997"
"2023-10-16","5401","13843"
"2023-10-17","8861","19138"
"2023-10-18","9816","8475"
"2023-10-19","4460","13491"
"2023-10-20","7340","6979"
"2023-10-21","2827","5458"
"2023-10-22","2172","10231"
"2023-10-23","4935","10715"
"2023-10-24","6213","7292"
"2023-10-25","3381","10536"
"2023-10-26","5461","17722"
"2023-10-27","12115","10292"
"2023-10-28","5669","22071"
"2023-10-29","13064","21565"
"2023-10-30","12240","17374"
"2023-10-31","10631","121239"
