sep=,
"Network","Page Name","Published time (UTC)","Post Type","Placement","Dark","Promoted","Reshare","Post text","Post URL","Post ID","Likes","Reach avg.","Video views","Engagement rate (reach)","Engagements"
"INSTAGRAM","BMW Indonesia","2023-11-30 12:04:27","REELS","REELS","No","No","No","Discover a fresh approach to gathering every detail of information about the BMW i Series through BMW i Hub, all at your fingertips.  Find your most suitable BEV by clicking the link in bio or get in touch with your nearest dealer.","https://www.instagram.com/reel/C0RPqNoyZAY/","17855796123074783","168","3578","-","5","179"
"INSTAGRAM","BMW Indonesia","2023-11-28 12:12:27","REELS","REELS","No","No","No","Ready to experience the adrenaline rush of accelerating from 0 to 100 km/h in just 4.1 seconds? Equipped with automatic transmission, #TheUltimatePurist is eagerly waiting to take you into the JOY of thrilling performance and speed.  #TheUltimatePurist #TheUltimateBMW","https://www.instagram.com/reel/C0MHAZlyysv/","17994725105164718","265","4664","-","6,17","288"
"INSTAGRAM","BMW Indonesia","2023-11-27 11:05:36","CAROUSEL","Timeline","No","No","No","Enjoy a home charging solution with the BMW Wallbox, designed for your BMW i Series or Plug-in Hybrid. It offers up to 22 kW of power, showcases an LED status bar for progress updates, and comes with a wall mount and cable holder for a neat installation.  To learn more about BMW i charging, click the link in bio or contact your nearest dealer.","https://www.instagram.com/p/C0Ja1WlS9eL/","17857932003037093","115","2851","0","4,38","125"
"INSTAGRAM","BMW Indonesia","2023-11-23 11:32:06","REELS","REELS","No","No","No","Make a statement on the road with the power, prestige, and style that THE BOSS possesses.  Contact your nearest BMW Authorized Dealer or visit bmw.co.id to learn more about THE NEW X5.  #BeTheBoss","https://www.instagram.com/reel/Cz_KafISQg0/","18232448848217248","282","6164","-","4,92","303"
"INSTAGRAM","BMW Indonesia","2023-11-20 11:02:17","IMAGE","Timeline","No","No","No","With our unwavering commitment to a more sustainable tomorrow, we are delighted to deliver THE iX to the Ministry of the State Secretariat for notable state guest events.   THE iX is 100% electric, allowing you to drive without any local emissions or fossil fuels.  Learn more about the no. 1  premium electric vehicle by visiting bmw.co.id or contact your preferred BMW Authorized Dealers.  #BornElectric","https://www.instagram.com/p/Cz3Y42cy-MU/","18007782512107346","389","0","-","-","400"
"INSTAGRAM","BMW Indonesia","2023-11-15 14:45:11","CAROUSEL","Timeline","No","No","No","We're officially @artjakarta's VIP Mobility Partner. BMW will provide THE iX for an electrifying and emissions-free experience unique to our Sheer Driving Pleasure for all the artists coming.  On top of that, THE 8 X JEFF KOONS will also be present as an exclusive display.  Come visit us and see the very limited edition of THE 8 X JEFF KOONS at Art Jakarta, JIEXPO Kemayoran, 17-19 November 2023. We can't wait to meet you, see you there!","https://www.instagram.com/p/Czq6bE4riZI/","18205902559277189","346","6290","0","5,9","371"
"INSTAGRAM","BMW Indonesia","2023-11-14 13:28:52","CAROUSEL","Timeline","No","No","No","In collaboration with @bmw.eurokars, BMW Indonesia is delighted to announce the delivery of five high-performance BMW vehicles in support of the Pertamax Turbo Ultimate Experience 2023 event.   This exciting event is scheduled to take place from 17-19 November 2023, at Pertamina Mandalika International Circuit in Lombok.   The lineup for this prestigious occasion includes THE THE M2, THE M3, THE M4, THE XM, and THE i4, which will take on the role of the lead car during this event.  Learn more about the BMW M and i Series on bmw.co.id.","https://www.instagram.com/p/CzoM5N-P7ir/","18033664078627897","407","0","0","-","419"
"INSTAGRAM","BMW Indonesia","2023-11-14 12:39:35","CAROUSEL","Timeline","No","No","No","In collaboration with @bmw.eurokars, BMW Indonesia is delighted to announce the delivery of five high-performance BMW vehicles in support of the Pertamax Turbo Ultimate Experience 2023 event.   This exciting event is scheduled to take place from 17-19 November 2023, at Pertamina Mandalika International Circuit in Lombok.   The lineup for this prestigious occasion includes THE THE M2, THE M3, THE M4, THE XM, and THE i4, which will take on the role of the lead car during this event.  Learn more about the BMW M and i Series on bmw.co.id.","https://www.instagram.com/p/CzoHQWHvUib/","18106629472347706","14","0","0","-","15"
"INSTAGRAM","BMW Indonesia","2023-11-14 10:49:12","CAROUSEL","Timeline","No","No","No","THE i7 takes the lead as the chosen sustainable transportation partner for the ASEAN Defense Ministers' Meeting 2023, scheduled from 14-17 November 2023.   Its presence signifies a commitment to environmental responsibility, showcasing how innovation can seamlessly blend with luxury.  To know more about THE i7, visit bmw.co.id or contact your preferred BMW Authorized Dealers.  #TheFutureofLuxury #THEi7","https://www.instagram.com/p/Czn6nzHy9uG/","18044092645554084","425","0","0","-","431"
"INSTAGRAM","BMW Indonesia","2023-11-14 02:12:40","IMAGE","Timeline","No","No","No","JOY IS ELECTRIC is now heading to the office buildings in Jakarta. Take the wheel of the no. 1 premium EV in Indonesia and enjoy a complimentary coffee from us.  Check the schedule and location to test drive THE iX at your office. For more information, contact your nearest BMW authorized dealer.  #JOYIsElectricGoestoOffice","https://www.instagram.com/p/Czm_gqzyK8e/","17997759242469541","127","0","-","-","163"
"INSTAGRAM","BMW Indonesia","2023-11-13 12:07:58","CAROUSEL","Timeline","No","No","No","Inspired by the JOY of Sheer Driving Pleasure, the iconic event of BMW Car Clubs Indonesia @bmwcci.official has returned with its National Annual Meeting (Munas) and Indonesian Bimmerfest (IBF) 2023.   This event, which took place in Mandalika, Lombok on November 10-11, 2023, is also supported by @bmwtunas. With the theme 'Mandalika Unites All,' it aims to maximize the emission-free electrifying experience at the Mandalika Circuit with THE iX.   To learn more about THE iX, visit bmw.co.id or by clicking the link in our bio.","https://www.instagram.com/p/Czle14NyDyH/","17877027659987034","334","0","0","-","338"
"INSTAGRAM","BMW Indonesia","2023-11-10 11:58:57","IMAGE","Timeline","No","No","No","JOY IS ELECTRIC is now heading to the office buildings in Jakarta. Take the wheel of the no. 1 premium EV in Indonesia and enjoy a complimentary coffee from us.  Check the schedule and location to test drive THE iX at your office. For more information, contact your nearest BMW authorized dealer.  #JOYIsElectricGoestoOffice","https://www.instagram.com/p/CzdvbLMyXIq/","18010088929890163","119","4112","-","3,11","128"
"INSTAGRAM","BMW Indonesia","2023-11-08 11:54:00","CAROUSEL","Timeline","No","No","No","Prepare to be electrified with JOY as you take the wheel of the BMW i Series in your city.  Check the schedule and visit 'JOY IS ELECTRIC On Tour' to test drive THE iX, THE i4, and THE i7, or for more information contact your nearest BMW Authorized Dealer.  #JOYisElectricOnTour","https://www.instagram.com/p/CzYlRISS6uI/","17923917368796217","211","5424","0","4,09","222"
"INSTAGRAM","BMW Indonesia","2023-11-05 14:32:34","REELS","REELS","No","No","No","The first-ever BMW i Exhibition, 'JOY IS ELECTRIC,' has concluded. Thank you to everyone who visited, test drove, and chose the BMW i Series. We can't wait to see you again at our next event.   To find out more about the BMW i Series, visit BMW i Hub on electromobility.mybmw.co.id, where our BMW i virtual assistant is at your service to answer your questions.  #JOYisElectric","https://www.instagram.com/reel/CzRI9I9vvB9/","18002053856277852","134","4340","-","3,23","140"
"INSTAGRAM","BMW Indonesia","2023-11-05 13:10:39","CAROUSEL","Timeline","No","No","No","Unleash expressiveness and luxurious JOY with the first-ever BMW XM. Let its unrivaled power, #TheUltimateBMW, define your statement.  Witness THE XM by visiting BMW i Exhibition at Plaza Senayan, only until today 5 November 2023.  #JOYisElectric","https://www.instagram.com/p/CzQ_p_gShZ3/","18392721817022366","297","6038","0","5,08","307"
"INSTAGRAM","BMW Indonesia","2023-11-05 07:18:49","REELS","REELS","No","No","No","Don’t miss out on the last chance to experience the first-ever fully electric Gran Coupé, THE i4.  Head to the BMW i Exhibition at Main Atrium Plaza Senayan today to explore THE i4, and make sure to pre-book your test drive via the link in our bio.  #JOYisElectric","https://www.instagram.com/reel/CzQXCIPyOAg/","17962719173653341","362","8644","-","4,62","399"
"INSTAGRAM","BMW Indonesia","2023-11-05 03:18:54","REELS","REELS","No","No","No","THE iX stands out as an all-electric SAV that raises the bar for style and sustainability.  Discover all you need to know about the BMW i Series through BMW i Hub at electromobility.mybmw.co.id, chat with our BMW i virtual assistant, and book your test drive.  Today is your final chance to test drive THE iX at the Main Atrium, Plaza Senayan, and get the special offers. Be there to seize this opportunity, just like @adiniawrst did.  #JOYisElectric","https://www.instagram.com/reel/CzP6SeGPHnv/","17913219248828427","1445","42181","-","3,69","1558"
"INSTAGRAM","BMW Indonesia","2023-11-04 14:21:06","IMAGE","Timeline","No","No","No","Our BMW enthusiast friend, @fitra.eri, explored the BMW i Exhibition at Plaza Senayan yesterday, where he test-drove and decided to make THE iX, the best-selling premium EV in Indonesia, his own. Thank you for choosing THE iX.   Be sure to visit the exhibition on its final day tomorrow, learn more about THE iX, and get the special offers.   You can also experience a test drive and receive an exclusive gift - a Samsung Powerbank or an e-money card worth Rp500k*.   Click the link in our bio to pre-book your test drive session.  #JOYisElectric","https://www.instagram.com/p/CzOi7EeP3d8/","17871790428004483","1280","29510","-","4,44","1310"
"INSTAGRAM","BMW Indonesia","2023-11-04 11:01:20","REELS","REELS","No","No","No","Take your chance this weekend to test-drive #TheFutureofLuxury and get a Samsung Powerbank or e-money card worth Rp500k as a special gift*.   Explore THE i7 at the first BMW i Exhibition 'JOY IS ELECTRIC',  at Plaza Senayan only until 5 November 2023.  *Limited-time offer. Terms and condition apply.  #JOYisElectric","https://www.instagram.com/reel/CzOL0n2voPz/","17920769525803039","414","9317","-","4,96","462"
"INSTAGRAM","BMW Indonesia","2023-11-04 09:48:00","CAROUSEL","Timeline","No","No","No","An innovative approach to sustainability, paired with electrifying performance in the M Sport package. THE i4 accelerates from 0 to 100 km/h in just 5.7 seconds and offers the convenience of fast charging, allowing you to recharge quickly and get back on the road.  Join us at the BMW i Exhibition 'JOY IS ELECTRIC' at the Main Atrium, Plaza Senayan until 5 November 2023, to test drive this #BornElectric vehicle.  Pre-book your test drive by clicking the link in the bio.  #JOYisElectric","https://www.instagram.com/p/CzODqxNvYbV/","18023841499753490","333","6555","0","5,35","351"
"INSTAGRAM","BMW Indonesia","2023-11-03 11:21:02","CAROUSEL","Timeline","No","No","No","Time to elevate your excellence in comfort with #TheFutureofLuxury. From its compelling allure, to the cutting-edge technology that lies within, immerse yourself in the innovative driving pleasure.  Book your test drive of THE i7 by clicking the link in our bio and claim a Samsung Powerbank or e-money Card worth Rp500k*.   Visit the BMW i Exhibition JOY IS ELECTRIC at Plaza Senayan, only until 5 November 2023.  *Limited offer. Terms and conditions apply.  #TheFutureofLuxury #JOYisElectric","https://www.instagram.com/p/CzLphVGyx16/","18000151253474514","276","6107","0","4,72","288"
"INSTAGRAM","BMW Indonesia","2023-11-03 08:14:58","REELS","REELS","No","No","No","Ready to experience the no. 1 premium EV in Indonesia? Test drive THE iX now, and get a Samsung Powerbank or e-money Card worth Rp500k*.  Visit the BMW i Exhibition JOY IS ELECTRIC at Plaza Senayan, available until 5 November 2023.  *Limited offer. Terms and conditions apply.   Pre-book your test drive now https://electromobility.mybmw.co.id/pre-book.  #BornElectric #JOYisElectric","https://www.instagram.com/reel/CzLT7POSjqW/","17974999895425222","225","6504","-","4,03","262"
"INSTAGRAM","BMW Indonesia","2023-11-03 05:12:20","CAROUSEL","Timeline","No","No","No","Uncover the eco-conscious innovations of THE iX. Book your test drive now and get a Samsung Powerbank or e-Money Card worth of Rp500k*.   Visit the BMW i Exhibition JOY IS ELECTRIC at Plaza Senayan, only until 5 November 2023.  *Limited-time offer. Terms and conditions apply.  #BornElectric #JOYisElectric","https://www.instagram.com/p/CzK_U6dyz4i/","18004731161136830","285","7927","0","3,9","309"
"INSTAGRAM","BMW Indonesia","2023-11-02 09:27:58","REELS","REELS","No","No","No","Embrace the future of mobility at BMW Group Indonesia first-ever Electric Vehicle Exhibition, JOY IS ELECTRIC.  Explore THE iX, THE i4, THE i7, and THE XM until 5 November 2023, at Main Atrium Plaza Senayan.  Enjoy exclusive offers and reserve your BMW i Series test drive by clicking the link in our bio.  #JOYisElectric","https://www.instagram.com/reel/CzI2t2nSFCl/","17954904296651956","130","4560","-","3","137"
"INSTAGRAM","BMW Indonesia","2023-11-02 06:54:07","REELS","REELS","No","No","No","Discover The first-ever BMW XM, your gateway to #TheUltimateBMW. Step into the future of innovation, performance, and a commanding presence.  Test drive this high performance car that brings cutting-edge drive system technology with a spectacular vehicle concept.  You can also enjoy exclusive merchandise* at the BMW Exhibition Plaza Senayan from 1-5 November, 2023.  *Terms and conditions apply.  #THEXM #JOYisElectric","https://www.instagram.com/reel/CzImCXpyljp/","18010228280058031","438","7828","-","6,07","475"
"INSTAGRAM","BMW Indonesia","2023-11-02 04:44:08","REELS","REELS","No","No","No","Seize the opportunity to test drive the BMW i Series at ‘JOY IS ELECTRIC,’ the First-Ever BMW Electric Vehicle Exhibition, at Plaza Senayan from 1-5 November 2023.  Pre-book your test drive of THE iX, THE i4, THE i7, and THE XM to get official merchandise* at https://electromobility.mybmw.co.id/pre-book.  *Terms and conditions apply.  #JOYisElectric","https://www.instagram.com/reel/CzIWSd8ykm8/","18035317009606997","130","4324","-","3,33","144"
"INSTAGRAM","BMW Indonesia","2023-11-01 14:17:19","CAROUSEL","Timeline","No","No","No","It's a remarkable day as BMW Group Indonesia presents the first-ever BMW Group Electric Vehicle Exhibition with the theme JOY IS ELECTRIC. Don't miss out on the exclusive promotions and the chance to experience the BMW i Series through test drives.   Visit Main Atrium Plaza Senayan until 5 November 2023 to explore THE i4, THE iX, THE i7, and THE XM.   Click the link in our bio to discover more about the BMW i Series and pre-book your test drive.  #JOYisElectric","https://www.instagram.com/p/CzG0GtUyaT8/","18282468676157930","301","5950","0","5,19","309"
"INSTAGRAM","BMW Indonesia","2023-11-01 13:12:11","REELS","REELS","No","No","No","Come visit the BMW Exhibition ‘JOY IS ELECTRIC’ at Plaza Senayan and take a closer look at THE iX, THE i4, THE i7, and THE XM.   Pre-book your favourite BMW i Series for a test drive and enjoy our exclusive offers from 1-5 November 2023.  Pre-book your test drive here: https://electromobility.mybmw.co.id/pre-book  #JOYisElectric","https://www.instagram.com/reel/CzGsjTZy5jh/","17886650216945691","319","7380","-","4,8","354"
"INSTAGRAM","BMW Indonesia","2023-11-01 12:17:59","REELS","REELS","No","No","No","Come visit the BMW Exhibition ‘JOY IS ELECTRIC’ at Plaza Senayan and take a closer look at THE iX, THE i4, THE i7, and THE XM.   Pre-book your favourite BMW i Series for a test drive and enjoy our exclusive offers from 1-5 November 2023.  Pre-book your test drive here: https://electromobility.mybmw.co.id/pre-book  #JOYisElectric","https://www.instagram.com/reel/CzGmXBIvHEY/","18004745537303995","-","-","-","-","-"
"INSTAGRAM","BMW Indonesia","2023-11-01 12:04:03","REELS","REELS","No","No","No","Come visit the BMW Exhibition ‘JOY IS ELECTRIC’ at Plaza Senayan and take a closer look at THE iX, THE i4, THE i7, and THE XM.   Pre-book your favourite BMW i Series for a test drive and enjoy our exclusive offers from 1-5 November 2023.  Pre-book your test drive here: https://electromobility.mybmw.co.id/pre-book  #JOYisElectric","https://www.instagram.com/reel/CzGkpzVy2wU/","18024578266631094","-","-","-","-","-"
