sep=,
"Network","Page Name","Published time (UTC)","Post Type","Placement","Dark","Promoted","Reshare","Post text","Post URL","Post ID","Reach avg.","Likes","Comments","Saves","Engagement rate (reach)","Video views"
"INSTAGRAM","BMW Indonesia","2022-12-30 07:21:22","CAROUSEL","Timeline","No","No","No","Visualize seamless driving on the road with evolved all-electric technology that is supremely comfortable and efficient.  With electric range of up to 420 km and charging time of only 31 minutes (10-80%, DC 150 kW), The BMW iX lets you experience the most pleasurable city drive.  Go to our website bmw.co.id/electricvehicle for more info about our electric vehicles.  #BMWIndonesia #BornElectric #DrivenByTheBest #theixmalang","https://www.instagram.com/p/CmyJQiPPXv2/","18228149257165472","9553","347","0","11","3,75","0"
"INSTAGRAM","BMW Indonesia","2022-12-27 11:48:46","CAROUSEL","Timeline","No","No","No","Over 40 years and 7 generations of evolution, yet the core values never changed, they just improved. A driver’s car made for efficiency, power, and technology. That’s what makes The BMW 3 Series an everlasting legend.  Swipe left to see how the legacy evolved through each generation, and how we finally arrived on The New 3 Series in 2022.   Comment below on your favorite generation of The 3 and why!  #BMWIndonesia #DrivenByTheBest #LegacyEvolved #THE3","https://www.instagram.com/p/Cmq5d8nNC5m/","18259939114113118","48833","4864","49","811","11,72","0"
"INSTAGRAM","BMW Indonesia","2022-12-20 06:53:22","CAROUSEL","Timeline","No","No","No","Imagine a seamless, improved interaction with your BMW. That’s what you’ll have with the BMW iDrive 8 in curved display.  The Intelligent Personal Assistant of the iDrive 8 in #THE3 is now more personalized and offers a more contextual functionality. Made to ensure your safety on the road for a maximum driving pleasure, with less buttons.  Visit our website http://bmw.co.id/thenew3 to get more details on the latest BMW THE 3.  #Legacy3volved #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/p/CmYWGm-vxtF/","17983800019775160","10970","576","9","14","5,46","0"
"INSTAGRAM","BMW Indonesia","2022-12-20 06:40:11","CAROUSEL","Timeline","No","No","No","Imagine a seamless, improved interaction with your BMW. That’s what you’ll have with the BMW iDrive 8 in curved display.  The Intelligent Personal Assistant of the iDrive 8 in #THE3 is now more personalized and offers a more contextual functionality. Made to ensure your safety on the road for a maximum driving pleasure, with less buttons.  Visit our website http://bmw.co.id/thenew3 to get more details on the latest BMW THE 3.  #Legacy3volved #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/p/CmYUmHiPbhf/","17946550421402439","0","25","1","1","-","0"
"INSTAGRAM","BMW Indonesia","2022-12-14 10:05:52","IMAGE","Timeline","No","No","No","100 % electric. 100 % driving pleasure.  Gliding almost silently through city traffic, feeling that instant response of electric engine, and unique acceleration. Surely it is a electrifying sensation of sheer driving pleasure.   If you are for #BornElectric, give a shout out to your favorite feature of The i4 below!  #BMWIndonesia #SheerDrivingPleasure #DrivenByTheBest #THEi4 #JoyIsElectric","https://www.instagram.com/p/CmJPXSQvQUm/","17862423827798904","20959","660","13","47","3,44","-"
"INSTAGRAM","BMW Indonesia","2022-12-10 06:25:05","CAROUSEL","Timeline","No","No","No","The year is coming to an end and we've charged through an electric year with BMW i as the best-selling model at GIIAS 2022.   20 new models have been relaunched, setting a whole new sales record that we're proud to say, have contributed to Indonesia's economic growth.   With new innovations in sustainability and digitalization, 2023 will be the year that we continue to lead the way towards a new era; paving the standards for luxury automobiles with the best customer experience in the industry.  Learn more about our electric vehicles at bmw.co.id/electricvehicle  #BMWIndonesia #BornElectric #DrivenByTheBest #SheerDrivingPleasure #DrivingPleasureGuaranteed","https://www.instagram.com/p/Cl-i6uJOLnQ/","17996474332594156","19245","986","5","56","5,44","0"
"INSTAGRAM","BMW Indonesia","2022-12-09 10:37:34","CAROUSEL","Timeline","No","No","No","We take pride in providing you with the utmost driving pleasure. So in yesterday's insurance gathering with @bmwultima, we showcased the importance of a BMW authorized bodyshop for your BMW.   Each working process is up to the standards that will guarantee an enduring driving pleasure.  #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #DrivingPleasureGuaranteed","https://www.instagram.com/p/Cl8bBExvbg2/","17987953468713823","11989","303","3","10","2,64","0"
"INSTAGRAM","BMW Indonesia","2022-12-04 13:43:10","CAROUSEL","Timeline","No","No","No","Whether you’re in sporty mode or chill drive mood, THE NEW 3 all-modernized appearance and performance is the perfect company.  For your maximum sheer driving pleasure, you’ll be indulged, assisted, and protected with BMW Live Cockpit Plus.  The all-new BMW Curved Display, makes interacting the latest iDrive 8 Operating System easy, and its Active cruise control with Stop&Go function surely will make your journey with THE 3 even more enjoyable and safe.  #JoyofEvolution #Legacy3volved #THENEW3 #SheerDrivingPleasure #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/p/Clv4SGqPiD1/","17966562926059606","16737","897","11","45","5,69","0"
"INSTAGRAM","BMW Indonesia","2022-12-04 06:01:42","CAROUSEL","Timeline","No","No","No","It’s only fitting to have a Sunday morning run and top it off with the sporty THE NEW 3 and the racetrack legend THE M4 CSL.  There’s no denying how much fun the Joy of Evolution, Sunday Run & Breakfast edition with a special guests, @bestie.bestea runners earlier today. Thank you for coming!  #JoyofEvolution #Legacy3volved #TrackLegend #THENEW3 #THEM4CSL #SheerDrivingPleasure #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/p/ClvDeLHvcqL/","17864214026795606","16682","672","6","12","4,14","0"
"INSTAGRAM","BMW Indonesia","2022-12-04 00:46:43","CAROUSEL","Timeline","No","No","No","The legacy and the legend have finally arrived. THE NEW 3 and THE M4 CSL now comes with remarkable advancements and stylish design.  The evolution of the legacy can now be witnessed alongside the revival of an unrivaled track legend, only at Plaza Senayan Fountain and Wing Area until Sunday, 4 December 2022.   Get the opportunity to test drive other latest models as well, and experience the sheer driving pleasure.  #JoyofEvolution #Legacy3volved #TrackLegend #THE3 #THEM4 #SheerDrivingPleasure #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/p/ClufbRgPsod/","17968390882983925","27887","2157","5","105","8,13","0"
"INSTAGRAM","BMW Indonesia","2022-12-02 11:32:04","CAROUSEL","Timeline","No","No","No","Finally. The anticipation is over. THE NEW 3 G20 LCI and THE M4 CSL is officially here in the courts of the Plaza Senayan fountain area.   After 45 years on the road, BMW presents an extensive modernization in an elegant design for the sheer driving pleasure with the iconic 3 Series, side by side with the reincarnation of a legend—the unrivaled, high-performance, lightweight motorsport, and racetrack ready; BMW M4 CSL   Witness the legacy firsthand at the Plaza Senayan fountain area tonight 2 December 2022 until Sunday, 4 December 2022. #JoyofEvolution   #Legacy3volved #TrackLegend #THE3 #THEM4 #SheerDrivingPleasure #DrivenByTheBest #BMWIndonesia","https://www.instagram.com/p/ClqfsNxvCmL/","18030612781421170","30798","2410","15","72","8,11","0"
"INSTAGRAM","BMW Indonesia","2022-12-02 06:01:33","IMAGE","Timeline","No","No","No","When evolution comes with improvement, we’re bound to celebrate. Join us in the Joy of Evolution, with THE NEW 3 Series and THE NEW M4 CSL!   Feel the thrill as you get up close and personal with the Legacy Evolved and the Track Legend. Only for a limited time 2-4 December 2022, exclusively at Plaza Senayan Fountain.  #JoyofEvolution #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure #TheTrackLegend #THEM4 #Legacy3volved #THE3","https://www.instagram.com/p/Clp521goAHF/","18187268212244208","17631","588","4","16","3,45","-"
"INSTAGRAM","BMW Indonesia","2022-12-01 11:58:12","CAROUSEL","Timeline","No","No","No","Born from the passion for racing with the highest regard for tradition, THE M4 Edition 50 Jahre revealed in the most successful model series in the history of BMW M GmbH.  Presented at the 50 Jahre with our esteemed community, M Owners Club Indonesia, we indulged in an exclusive collection of rarities in high-performance sports cars at Mandalika.  Truly a thrilling celebration of power and speed.  Credit 📷 : @m_ownersclubid  #BMWIndonesia  #BMWM50Jahre  #DrivenByTheBest  #THEM4Edition50Jahre  #SheerDrivingPleasure","https://www.instagram.com/p/Cln94t_vP60/","17907231140675005","20557","1556","15","81","8,04","0"
"INSTAGRAM","BMW Indonesia","2022-12-01 07:56:41","CAROUSEL","Timeline","No","No","No","BMW Joy of Evolution is coming to Plaza Senayan this 2-4 December 2022, in celebration of the launch of the latest model.   We'd like to share the joy by giving you the chance to get a test drive with the stars, Ario Bayu, BAMS, and Adinia Wirasti. Here's how you can join:  1. Follow @BMW_Indonesia 2. Write your guess of the BMW model on the picture above on the comment section (p.s. It’s the new model we’re launching this weekend and will be on display at Plaza Senayan too) 3. Use hashtag #JoyofEvolution along with your answer on the comment 4. Reshare this post on your Instagram Story  The giveaway is only for TODAY (1 December 2022), and winners will be announced later on the same day. Swipe to left for the full T&C. Best of luck and see you on the test drive field!  #JoyofEvolution #BMWIndonesia #DrivenByTheBest #SheerDrivingPleasure","https://www.instagram.com/p/ClniPxgOCcv/","17970599971942558","35819","1205","71","47","3,69","0"
"INSTAGRAM","BMW Indonesia","2022-11-29 12:02:46","IMAGE","Timeline","No","No","No","It runs on improvement by inspirations.   Take a closer look of the pure evolution of the legacy, exclusive at Plaza Senayan Fountain area, 2-4 December 2022.  Register your interest at bmw.co.id/thenew3  #Legacy3volved #DrivenByTheBest #BMWIndonesia #SheerDrivingPleasure","https://www.instagram.com/p/Cli00csPBZo/","17991312622627004","21872","1292","6","37","6,1","-"
"INSTAGRAM","BMW Indonesia","2022-11-23 04:33:37","CAROUSEL","Timeline","No","No","No","What a night of wonder! It's where art and glam meet.  That night, we celebrated art that ignites the visceral aspect of life at MACAN GALA 2022, the annual event from Museum MACAN that's fully supported by BMW Indonesia. The event is also held to support the charity program for children's education by @museummacan.  Among stars and art enthusiasts, we showcase THE 8 x Jeff Koons and THE 740Li at the red carpet. It was truly a night to remember.  #BMWIndonesia #THE8xJeffKoons #THE7 #DrivenByTheBest #BMWxMACAN #MACANGala2022","https://www.instagram.com/p/ClSkpc3vibO/","17932642988442345","7141","293","0","7","4,2","0"
"INSTAGRAM","BMW Indonesia","2022-11-21 11:26:55","CAROUSEL","Timeline","No","No","No","Do you know that THE 8 x Jeff Koons spend over 200 hours of work time just for the exterior paint job? Combining 11 striking colors, there’s only four cars painted manually each week.  The painting expertise even received a special additional training so that they can understand and capture the spirit of Koon’s vision right from the start.   It took experience and flair to implement Jeff Koons’ very precise requirements in detail by hand in a technical small-series process.  To register your interest and learn more about this car, visit www.bmw.co.id/the8xjeffkoons  #BMWIndonesia #THE8xJeffKoons #BMWatMACAN #SheerDrivingPleasure #DrivenByTheBest","https://www.instagram.com/p/ClOKWeqtfzp/","17844333110894353","8109","327","0","12","4,18","0"
