sep=,
"Network","Page Name","Published time (Asia/Jakarta)","Post Type","Placement","Dark","Promoted","Reshare","Post text","Post URL","Post ID","Reach avg.","Likes","Comments","Saves","Engagement rate (reach)","Video views"
"INSTAGRAM","BMW Indonesia","2023-10-30 19:32:03","CAROUSEL","Timeline","No","No","No","THE i4 is #BornElectric, boasting the power to accelerate from 0 to 100 km/h in just 5.7 seconds, faster than washing your hands.  Pre-book your test drive of THE i4 at the BMW Exhibition at Plaza Senayan from 1-5 November 2023 now through electromobility.mybmw.co.id/pre-book.  #JOYisElectric #THEi4","https://www.instagram.com/p/CzBed9EylvX/","18003075158125890","3314","181","1","2","5,55","0"
"INSTAGRAM","BMW Indonesia","2023-10-26 18:42:25","CAROUSEL","Timeline","No","No","No","Step into the future of sustainable electric luxury with the ultra-wide 31.3” Theatre Screen in 8K resolution and Executive Lounge Seating beneath the Sky Lounge panoramic sunroof inside THE i7.   Test drive now #TheFutureofLuxury at the BMW i Exhibition on 1-5 November 2023.  For more details, contact your nearest BMW Authorized Dealer or visit bmw.co.id.  #JOYisElectric #Thei7","https://www.instagram.com/p/Cy3Fm_OS1FC/","18003248576135846","5275","334","0","17","6,65","0"
"INSTAGRAM","BMW Indonesia","2023-10-25 18:44:36","CAROUSEL","Timeline","No","No","No","Who said helping the environment is too time-consuming?   Thankfully, THE iX's charging time 10-80% (150kW initially, DC fast-charging station), will only take you up to 31 minutes; faster than streaming your favorite series.   Test drive THE iX to experience the electrifying efficiency at the BMW Exhibition in Plaza Senayan on 1-5 November 2023.  #JOYisElectric #BornElectric #BMWIndonesia","https://www.instagram.com/p/Cy0hEGovTMa/","18292748626124032","3560","173","0","5","5","0"
"INSTAGRAM","BMW Indonesia","2023-10-24 18:19:44","IMAGE","Timeline","No","No","No","Feel the electrifying JOY of the BMW i Series – THE i7, THE iX, and THE i4.   Enjoy our exclusive offers and get behind the wheel for a test drive, only at the BMW Exhibition, Main Atrium, Plaza Senayan.  Mark your calendar for November 1-5, 2023, and see you soon!  #JOYIsElectric #BornElectric #BMWIndonesia","https://www.instagram.com/p/Cyx5bEPStyh/","17856286695050312","4365","173","0","3","4,03","-"
"INSTAGRAM","BMW Indonesia","2023-10-23 18:40:02","CAROUSEL","Timeline","No","No","No","Fulfill your finest travel experiences with the luxurious JOY, both in the air and on the ground. Get ready to savor unparalleled privileges as a member of the BMW Excellence Club with Garuda Indonesia.  Find out more about BEC at bmw.co.id or contact your nearest BMW Authorized Dealer.","https://www.instagram.com/p/CyvW81bS9k2/","17918219039804819","5966","204","2","10","3,62","0"
"INSTAGRAM","BMW Indonesia","2023-10-17 19:31:31","CAROUSEL","Timeline","No","No","No","With BMW Excellence Club membership, you are entitled to a variety of privileges as well as services. Unlock the JOY of Samsung Premium VIP Access and enjoy a complimentary gift*.  To learn more about BMW Excellence Club, visit bmw.co.id or contact your nearest BMW Authorized Dealer.  *Terms and conditions apply.","https://www.instagram.com/p/CygAEq_y7nU/","18238206031213216","9640","300","2","10","3,24","0"
"INSTAGRAM","BMW Indonesia","2023-10-15 19:18:46","CAROUSEL","Timeline","No","No","No","BMW is back to support @motogp, at Pertamina Mandalika Circuit 13-15 October 2023, with the latest line up of safety cars @bmwm: The First-ever #BMWM3Touring and The new #BMWM2Coupé, as well as #BMWM5CS.  Also, to strengthen its leadership in the premium electric vehicle segment in Indonesia, BMW has The #BMWi4eDrive40MSport as the Official Mobility Partner MGPA and The #BMWiXxDrive40Sport to lead MotoGP Riders Parade.  Last but not least, this season, The #BMWXMLabelRed becomes the prize for the best racer in MotoGP tournament.  BMW is on long strategic partnership with Dorna Sports, dates back until 1999 and BMW M is now entering its 25th season as ‘Official Partner of MotoGP’.  For more information on range of BMW cars, visit bmw.co.id or contact your nearest BMW Authorized Dealers.  #BMWMSafetyCar #PertaminaGP2023 #BMWIndonesia","https://www.instagram.com/p/Cya1Bhcv48q/","18207955003260315","18253","2086","7","79","11,9","0"
"INSTAGRAM","BMW Indonesia","2023-10-13 10:05:35","CAROUSEL","Timeline","No","No","No","Introducing THE NEW X5, brings thrills to every ride, empowering you to lead with unwavering confidence and authority. It's a declaration of JOY in your journey toward excellence.  #BeTheBoss with THE NEW X5 and visit your nearest BMW authorized dealer to test drive.","https://www.instagram.com/p/CyUsIO2vZI_/","18209095432259029","25541","1952","26","123","8,23","0"
"INSTAGRAM","BMW Indonesia","2023-10-12 18:00:05","CAROUSEL","Timeline","No","No","No","THE i7: The official sustainable mobility partner for the 1st Archipelagic and Island States (AIS) Forum Summit in Bali from 10-11 October 2023.   With an electric range of up to 625 km*, THE i7 ensures you can fully immerse yourself in this breathtaking destination without the need for frequent recharging.  Visit www.bmw.co.id or contact BMW Authorized Dealer to learn more about THE i7 and dive into the future of sustainable mobility.  *The electric range shown was achieved using the WLTP procedure. Figures shown are for comparability purposes. These figures may not reflect real life driving results, which will depend upon a number of factors including the starting charge of the battery, accessories fitted (post-registration), variations in weather, driving styles and vehicle load.  #KTTAISForum2023 #TheFutureofLuxury","https://www.instagram.com/p/CyS9otDyuST/","18010544560940704","27544","1453","8","27","5,4","0"
"INSTAGRAM","BMW Indonesia","2023-10-10 20:46:57","CAROUSEL","Timeline","No","No","No","A striking combination of an SAV and a coupe, designed to turn heads.  THE NEW X6, now available with BMW's 'Iconic Glow' kidney grille, adaptive LED headlights, the BMW Curved Display, and a new ambient light system, it truly makes a statement.  To find out more about THE NEW X6, contact your nearest BMW Authorized Dealer.  #UnleashTheBeast","https://www.instagram.com/p/CyOHJCFSlh1/","17930939972666945","13569","734","14","30","5,73","0"
