sep=,
"Country","Fans"
"Indonesia","236217"
"India","4063"
"Iran, Islamic Republic of","1881"
"Iraq","1515"
"United States","1368"
"Turkey","1330"
"Brazil","1321"
"Egypt","1280"
"Russian Federation","1199"
"Taiwan, Province of China","1197"
"Malaysia","1168"
"Germany","931"
"Nigeria","779"
"Japan","596"
"United Kingdom","552"
"Saudi Arabia","532"
"France","518"
"Pakistan","498"
"Morocco","489"
"Italy","473"
"Australia","463"
"Algeria","450"
"Cambodia","426"
"Ukraine","412"
"Thailand","397"
"China","388"
"Singapore","381"
"Uzbekistan","364"
"Hong Kong","346"
"Azerbaijan","333"
"Viet Nam","332"
"Tajikistan","331"
"Kazakhstan","326"
"Mexico","309"
"United Arab Emirates","304"
"Bangladesh","287"
"Jordan","281"
"Syrian Arab Republic","273"
"Philippines","259"
"Kyrgyzstan","258"
"Romania","258"
"Spain","253"
"Korea, Republic of","253"
"Poland","246"
"Colombia","233"
