sep=,
"Network","Page Name","Published time (Asia/Jakarta)","Post Type","Placement","Dark","Promoted","Reshare","Post text","Post URL","Post ID","Reach avg.","Impressions","Comments","Taps forward","Taps back","Exits rate"
"INSTAGRAM","BMW Indonesia","2023-10-31 20:24:35","VIDEO_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3225744074624077719","17915907983821476","1803","0","0","1245","8","25,29"
"INSTAGRAM","BMW Indonesia","2023-10-30 19:42:59","IMAGE_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3224998341692341522","17986837580395117","0","0","1","2029","107","-"
"INSTAGRAM","BMW Indonesia","2023-10-30 15:35:36","IMAGE_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3224873841805882960","17900398850872370","0","0","1","2219","43","-"
"INSTAGRAM","BMW Indonesia","2023-10-29 19:42:23","VIDEO_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3224273276872687978","18104839366348654","0","0","0","1466","15","-"
"INSTAGRAM","BMW Indonesia","2023-10-28 08:42:41","IMAGE_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3223216459811934776","18013324615798458","0","0","1","2086","91","-"
"INSTAGRAM","BMW Indonesia","2023-10-27 20:11:24","IMAGE_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3222838333893731812","18010821133986107","0","0","0","3877","55","-"
"INSTAGRAM","BMW Indonesia","2023-10-26 15:55:12","IMAGE_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3221984585555109830","18001222880163483","0","0","1","1920","19","-"
"INSTAGRAM","BMW Indonesia","2023-10-24 18:20:33","IMAGE_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3220608193651038488","17988967505517677","0","0","1","1973","14","-"
"INSTAGRAM","BMW Indonesia","2023-10-20 18:00:11","IMAGE_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3217698839033552130","18023385994704075","0","0","0","2103","26","-"
"INSTAGRAM","BMW Indonesia","2023-10-18 18:35:17","VIDEO_STORY","STORY","No","No","No","-","https://instagram.com/stories/bmw_indonesia/3216266969598537002","18041447014549346","0","0","0","1658","25","-"
