sep=,
"Network","Page Name","Published time (UTC)","Post Type","Placement","Dark","Promoted","Reshare","Post text","Post URL","Post ID","Engagements","Reach avg.","Engagement rate (reach)","Plays"
"INSTAGRAM","BMW Indonesia","2023-11-30 12:04:27","REELS","REELS","No","No","No","Discover a fresh approach to gathering every detail of information about the BMW i Series through BMW i Hub, all at your fingertips.  Find your most suitable BEV by clicking the link in bio or get in touch with your nearest dealer.","https://www.instagram.com/reel/C0RPqNoyZAY/","17855796123074783","179","3578","5","3939"
"INSTAGRAM","BMW Indonesia","2023-11-28 12:12:27","REELS","REELS","No","No","No","Ready to experience the adrenaline rush of accelerating from 0 to 100 km/h in just 4.1 seconds? Equipped with automatic transmission, #TheUltimatePurist is eagerly waiting to take you into the JOY of thrilling performance and speed.  #TheUltimatePurist #TheUltimateBMW","https://www.instagram.com/reel/C0MHAZlyysv/","17994725105164718","288","4664","6,17","4876"
"INSTAGRAM","BMW Indonesia","2023-11-23 11:32:06","REELS","REELS","No","No","No","Make a statement on the road with the power, prestige, and style that THE BOSS possesses.  Contact your nearest BMW Authorized Dealer or visit bmw.co.id to learn more about THE NEW X5.  #BeTheBoss","https://www.instagram.com/reel/Cz_KafISQg0/","18232448848217248","303","6164","4,92","6235"
"INSTAGRAM","BMW Indonesia","2023-11-05 14:32:34","REELS","REELS","No","No","No","The first-ever BMW i Exhibition, 'JOY IS ELECTRIC,' has concluded. Thank you to everyone who visited, test drove, and chose the BMW i Series. We can't wait to see you again at our next event.   To find out more about the BMW i Series, visit BMW i Hub on electromobility.mybmw.co.id, where our BMW i virtual assistant is at your service to answer your questions.  #JOYisElectric","https://www.instagram.com/reel/CzRI9I9vvB9/","18002053856277852","140","4340","3,23","4122"
"INSTAGRAM","BMW Indonesia","2023-11-05 07:18:49","REELS","REELS","No","No","No","Don’t miss out on the last chance to experience the first-ever fully electric Gran Coupé, THE i4.  Head to the BMW i Exhibition at Main Atrium Plaza Senayan today to explore THE i4, and make sure to pre-book your test drive via the link in our bio.  #JOYisElectric","https://www.instagram.com/reel/CzQXCIPyOAg/","17962719173653341","399","8644","4,62","8805"
"INSTAGRAM","BMW Indonesia","2023-11-05 03:18:54","REELS","REELS","No","No","No","THE iX stands out as an all-electric SAV that raises the bar for style and sustainability.  Discover all you need to know about the BMW i Series through BMW i Hub at electromobility.mybmw.co.id, chat with our BMW i virtual assistant, and book your test drive.  Today is your final chance to test drive THE iX at the Main Atrium, Plaza Senayan, and get the special offers. Be there to seize this opportunity, just like @adiniawrst did.  #JOYisElectric","https://www.instagram.com/reel/CzP6SeGPHnv/","17913219248828427","1558","42181","3,69","41275"
"INSTAGRAM","BMW Indonesia","2023-11-04 11:01:20","REELS","REELS","No","No","No","Take your chance this weekend to test-drive #TheFutureofLuxury and get a Samsung Powerbank or e-money card worth Rp500k as a special gift*.   Explore THE i7 at the first BMW i Exhibition 'JOY IS ELECTRIC',  at Plaza Senayan only until 5 November 2023.  *Limited-time offer. Terms and condition apply.  #JOYisElectric","https://www.instagram.com/reel/CzOL0n2voPz/","17920769525803039","462","9317","4,96","9234"
"INSTAGRAM","BMW Indonesia","2023-11-03 08:14:58","REELS","REELS","No","No","No","Ready to experience the no. 1 premium EV in Indonesia? Test drive THE iX now, and get a Samsung Powerbank or e-money Card worth Rp500k*.  Visit the BMW i Exhibition JOY IS ELECTRIC at Plaza Senayan, available until 5 November 2023.  *Limited offer. Terms and conditions apply.   Pre-book your test drive now https://electromobility.mybmw.co.id/pre-book.  #BornElectric #JOYisElectric","https://www.instagram.com/reel/CzLT7POSjqW/","17974999895425222","262","6504","4,03","6361"
"INSTAGRAM","BMW Indonesia","2023-11-02 09:27:58","REELS","REELS","No","No","No","Embrace the future of mobility at BMW Group Indonesia first-ever Electric Vehicle Exhibition, JOY IS ELECTRIC.  Explore THE iX, THE i4, THE i7, and THE XM until 5 November 2023, at Main Atrium Plaza Senayan.  Enjoy exclusive offers and reserve your BMW i Series test drive by clicking the link in our bio.  #JOYisElectric","https://www.instagram.com/reel/CzI2t2nSFCl/","17954904296651956","137","4560","3","4275"
"INSTAGRAM","BMW Indonesia","2023-11-02 06:54:07","REELS","REELS","No","No","No","Discover The first-ever BMW XM, your gateway to #TheUltimateBMW. Step into the future of innovation, performance, and a commanding presence.  Test drive this high performance car that brings cutting-edge drive system technology with a spectacular vehicle concept.  You can also enjoy exclusive merchandise* at the BMW Exhibition Plaza Senayan from 1-5 November, 2023.  *Terms and conditions apply.  #THEXM #JOYisElectric","https://www.instagram.com/reel/CzImCXpyljp/","18010228280058031","475","7828","6,07","8350"
"INSTAGRAM","BMW Indonesia","2023-11-02 04:44:08","REELS","REELS","No","No","No","Seize the opportunity to test drive the BMW i Series at ‘JOY IS ELECTRIC,’ the First-Ever BMW Electric Vehicle Exhibition, at Plaza Senayan from 1-5 November 2023.  Pre-book your test drive of THE iX, THE i4, THE i7, and THE XM to get official merchandise* at https://electromobility.mybmw.co.id/pre-book.  *Terms and conditions apply.  #JOYisElectric","https://www.instagram.com/reel/CzIWSd8ykm8/","18035317009606997","144","4324","3,33","4476"
"INSTAGRAM","BMW Indonesia","2023-11-01 13:12:11","REELS","REELS","No","No","No","Come visit the BMW Exhibition ‘JOY IS ELECTRIC’ at Plaza Senayan and take a closer look at THE iX, THE i4, THE i7, and THE XM.   Pre-book your favourite BMW i Series for a test drive and enjoy our exclusive offers from 1-5 November 2023.  Pre-book your test drive here: https://electromobility.mybmw.co.id/pre-book  #JOYisElectric","https://www.instagram.com/reel/CzGsjTZy5jh/","17886650216945691","354","7380","4,8","7683"
"INSTAGRAM","BMW Indonesia","2023-11-01 12:17:59","REELS","REELS","No","No","No","Come visit the BMW Exhibition ‘JOY IS ELECTRIC’ at Plaza Senayan and take a closer look at THE iX, THE i4, THE i7, and THE XM.   Pre-book your favourite BMW i Series for a test drive and enjoy our exclusive offers from 1-5 November 2023.  Pre-book your test drive here: https://electromobility.mybmw.co.id/pre-book  #JOYisElectric","https://www.instagram.com/reel/CzGmXBIvHEY/","18004745537303995","-","-","-","-"
"INSTAGRAM","BMW Indonesia","2023-11-01 12:04:03","REELS","REELS","No","No","No","Come visit the BMW Exhibition ‘JOY IS ELECTRIC’ at Plaza Senayan and take a closer look at THE iX, THE i4, THE i7, and THE XM.   Pre-book your favourite BMW i Series for a test drive and enjoy our exclusive offers from 1-5 November 2023.  Pre-book your test drive here: https://electromobility.mybmw.co.id/pre-book  #JOYisElectric","https://www.instagram.com/reel/CzGkpzVy2wU/","18024578266631094","-","-","-","-"
