presence_handle,published_at,report_generated_at,captured_at,caption,image,post_link,post_type,posted_by,spend,reach,reach_paid,reach_organic,reach_organic_viral,reach_organic_non_viral,fan_reach,fan_reach_rate,impressions,impressions_paid,impressions_organic,impressions_organic_viral,impressions_organic_non_viral,engaged_users,engaged_page_fans,engaged_non_page_fans,page_fans,social_engagement_total,social_engagement_total_post_only,engagement_total,social_engagement_total_organic,social_engagement_total_paid,reactions,likes_post_only,loves_post_only,hahas_post_only,wows_post_only,sads_post_only,angrys_post_only,likes,loves,hahas,wows,sads,angrys,negative_feedback,negative_feedback_unique,fan_post_impressions,fan_post_impressions_paid,fan_reach_paid,video_viewers,video_viewers_organic,video_viewers_paid,total_time_viewed_reels_and_videos,video_view_length_organic,video_view_length_paid,reactions_organic,reactions_paid,reactions_post_only,comments,comments_organic,comments_paid,comments_post_only,shares,shares_organic,shares_paid,shares_post_only,consumptions_via_insights,link_clicks_via_insights,photo_views_via_insights,video_plays_via_insights,other_clicks_via_insights,consumptions_via_ads,link_clicks_via_ads,photo_views_via_ads,video_plays_via_ads,other_clicks_via_ads,facebook_engagement_rate,social_engagement_rate_by_reach,social_engagement_rate_by_reach_paid,social_engagement_rate_by_reach_organic,social_engagement_rate_by_impression,social_engagement_rate_by_impression_paid,social_engagement_rate_by_impression_organic,engagement_rate_by_reach,engagement_rate_by_impression,engagement_rate_by_page_fan,social_engagement_rate_by_page_fan,live_video_viewers,video_length_reels_and_videos,average_watch_length_reels_and_videos,average_percent_viewed_video,video_view_rate_by_impression,views_reels_and_videos,video_views_organic,video_views_paid,30_second_video_views,30_second_video_views_organic,30_second_video_views_paid,10_second_video_views,10_second_video_views_organic,10_second_video_views_paid,video_views_to_95,video_views_to_95_organic,video_views_to_95_paid,30_second_video_view_rate,30_second_video_view_rate_organic,30_second_video_view_rate_paid,95_video_view_rate,95_video_view_rate_organic,95_video_view_rate_paid,post_tag_ugc,post_tag_contests
BMWIndonesia,2024-04-04 19:16:06,2024-05-02 10:45:15,2024-05-02 09:45:12,"Time to take the lead with The First Fully-Electric i5, your finest iconic business sedan. Encounter its electrifying power, sporty elegance, and cutting-edge features to capture your #EverlastingJOY on the road. Get in touch with your preferred authorized BMW dealer or visit bmw.co.id, to explore more about THE i5. #THEi5 #AllElectricBusinessSedan",https://d1fufsnuanxyqc.cloudfront.net/389627907174527,https://www.facebook.com/reel/389627907174527/,reel,"BMW Indonesia",0,1161,,,,,,,926,,,,,,,,154225,27,,27,,,24,,,,,,,17,7,0,0,0,0,,,,,,,,,3698445,,,,,,0,,,,3,,,,,,,,,,,,,,0.023255813953488372,0.023255813953488372,,,0.029157667386609073,,,0.023255813953488372,0.029157667386609073,0.00017506889285135355,0.00017506889285135355,,16283.000000000002,3994,,1,926,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-08 19:49:48,2024-05-02 10:45:15,2024-05-02 09:45:12,"Have a joyful journey back home with all your essentials packed, while you relish in the comfortable SensaTec upholstery and spaciousness of THE X3. With BMW Service by your side, secure peace of mind on the road. #WhateverHappens, Relax. We Care. Contact your preferred Authorized BMW Dealer or visit bmw.co.id now for more details on THE X3 and BMW Service. Take advantage of installment plans starting from Rp19 million, and save up to Rp50 million* on the BMW X3 xDrive30i M Sport. *TnC Apply.",https://d1fufsnuanxyqc.cloudfront.net/2837819823038873,https://www.facebook.com/reel/2837819823038873/,reel,"BMW Indonesia",0,2273,,,,,,,1988,,,,,,,,154211,31,,31,,,27,,,,,,,20,7,0,0,0,0,,,,,,,,,17915410,,,,,,0,,,,3,,,,,,,,,,,,,,0.013638363396392433,0.013638363396392433,,,0.015593561368209255,,,0.013638363396392433,0.015593561368209255,0.00020102327330735162,0.00020102327330735162,,27666,9011,,1,1988,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-09 16:44:34,2024-05-02 10:45:15,2024-05-02 09:45:12,"Drive JOY home this blessed Lebaran with BMW’s exclusive offers. Get free IDR 10 Mio gasoline or BMW accesories and lifestyle voucher, and savings up to IDR 50 Mio and low monthly installments.* 281i Gran Coupé Sport  → Start from IDR 11 Mio / month 320i M Sport  → Start from IDR 14 Mio / month 330i M Sport Pro  → Start from IDR 15 Mio / month X3 sDrive20i xLine  → Start from IDR 17 Mio / month X3 xDrive30i M Sport  → Start from IDR 19 Mio / month Enjoy this exclusive offer limited only until end of April 2024, contact your preferred authorized BMW dealer or visit bmw.co.id  *TnC Apply.",https://d1fufsnuanxyqc.cloudfront.net/380239241657007,https://www.facebook.com/reel/380239241657007/,reel,"BMW Indonesia",0,1110,,,,,,,880,,,,,,,,154211,19,,19,,,19,,,,,,,14,5,0,0,0,0,,,,,,,,,3458219,,,,,,0,,,,0,,,,,,,,,,,,,,0.017117117117117116,0.017117117117117116,,,0.02159090909090909,,,0.017117117117117116,0.02159090909090909,0.00012320781267224776,0.00012320781267224776,,20083,3929,,1,880,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-09 20:00:33,2024-05-02 10:45:15,2024-05-02 09:45:12,"This Ramadan is coming to an end. Let's celebrate the victory with loved ones to bring more gratitude, prosperity, and #EverlastingJOY. Eid Mubarak from BMW Indonesia.",https://d1fufsnuanxyqc.cloudfront.net/945877026852877,https://www.facebook.com/reel/945877026852877/,reel,"BMW Indonesia",0,995,,,,,,,790,,,,,,,,154211,17,,17,,,14,,,,,,,10,4,0,0,0,0,,,,,,,,,1958264,,,,,,0,,,,3,,,,,,,,,,,,,,0.017085427135678392,0.017085427135678392,,,0.021518987341772152,,,0.017085427135678392,0.021518987341772152,0.00011023856923306379,0.00011023856923306379,,15082,2481,,1,790,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-21 08:01:20,2024-05-02 10:45:15,2024-05-02 09:45:12,"Happy Kartini’s Day to all Indonesian women. Let's embrace Kartini's legacy to pursue our dreams with passion and FREUDE. #THEi5 #AllElectricBusinessSedan",https://d1fufsnuanxyqc.cloudfront.net/454020360392147,https://www.facebook.com/reel/454020360392147/,reel,"BMW Indonesia",0,1276,,,,,,,1162,,,,,,,,154191,23,,23,,,23,,,,,,,18,5,0,0,0,0,,,,,,,,,4099783,,,,,,0,,,,0,,,,,,,,,,,,,,0.018025078369905956,0.018025078369905956,,,0.019793459552495698,,,0.018025078369905956,0.019793459552495698,0.00014916564520627015,0.00014916564520627015,,25425,3534,,1,1162,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-22 19:53:41,2024-05-02 10:45:15,2024-05-02 09:45:12,"Nurturing sustainability from the inside out, the BMW Vision Neue Klasse X pioneers with recycled materials, reduced emissions, and a commitment to a greener future, all harmonizing to the symphony of FREUDE.",https://d1fufsnuanxyqc.cloudfront.net/3943873465898787,https://www.facebook.com/reel/3943873465898787/,reel,"BMW Indonesia",0,583,,,,,,,505,,,,,,,,154187,13,,13,,,13,,,,,,,9,4,0,0,0,0,,,,,,,,,2811110,,,,,,0,,,,0,,,,,,,,,,,,,,0.022298456260720412,0.022298456260720412,,,0.02574257425742574,,,0.022298456260720412,0.02574257425742574,0.00008431320409632459,0.00008431320409632459,,32833,5588,,1,505,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-05 19:28:19,2024-05-02 10:45:15,2024-04-19 21:13:43,"Turn your journey home into a joyful ride with THE X3, as enjoyed by Den Dimas (@buburayamracer) and Aurelia (@couplewanders). Featuring a spacious and comfortable interior, along with generous room for your Samsonite luggage, THE X3 is tailored to meet all your mudik trip essentials. Experience not only comfort inside the car but also peace of mind with our BMW Service. #WhateverHappens on the road—Relax. We Care. Reach out to your preferred BMW Authorized Dealer today for further details on THE X3 and BMW Service. Get the most out of installment plans starting from Rp19 mio and save up to Rp50 mio* on the BMW X3 xDrive30i M Sport. *TnC Apply.",https://d1fufsnuanxyqc.cloudfront.net/195487454216_828437225977199,https://www.facebook.com/644655054355418/posts/828437225977199,photo,"Leverate Socmed",0,3612,0,3612,3,3601,3140,0.02035933579287942,3636,0,3636,3,3633,133,94,39,154229,35,34,174,35,0,33,22,9,0,0,0,0,23,10,0,0,0,0,0,0,3130,,,,,,,,,33,0,31,1,1,0,1,2,2,0,2,139,,101,,38,0,0,0,0,0,0.03682170542635659,0.009689922480620155,,0.009711431742508323,0.009625962596259627,,0.009625962596259627,0.04817275747508306,0.04785478547854786,0.0011281924929812163,0.00022693527157668144,,,,,,,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-07 18:00:49,2024-05-02 10:45:15,2024-04-21 16:23:52,"Go the distance in your BMW i Series this upcoming Eid Al Fitr. Swipe left to enjoy more electrifying drives between charge stops on your mudik travels. Learn more at the link in our bio. #EverlastingJOY",https://d1fufsnuanxyqc.cloudfront.net/195487454216_828525279301727,https://www.facebook.com/644655054355418/posts/828525279301727,photo,"Leverate Socmed",0,3006,0,3006,7,2997,2612,0.016936733648465513,3084,0,3084,7,3077,69,46,23,154221,34,34,89,34,0,32,23,8,0,0,0,0,23,9,0,0,0,0,0,0,2619,,,,,,,,,32,0,31,0,0,0,0,3,3,0,3,55,,42,,13,0,0,0,0,0,0.022954091816367265,0.011310711909514305,,0.011318242343541944,0.011024643320363165,,0.011024643320363165,0.029607451763140388,0.02885862516212711,0.000577093910686612,0.00022046284228477314,,,,,,,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-17 19:14:59,2024-05-02 10:45:15,2024-05-01 10:30:47,"The sustainable future comes with The All-Electric i5. With the first BMW luxurious vegan interior, navigate the city in style, while making a difference. This includes the seats, the door panels, and even the steering wheel which are fitted with the high-quality leather alternative Veganza. Get in touch with your preferred authorized BMW dealer or visit bmw.co.id, to learn more about THE i5. #THEi5 #AllElectricBusinessSedan #EverlastingJOY",https://d1fufsnuanxyqc.cloudfront.net/195487454216_836009725219949,https://www.facebook.com/644655054355418/posts/836009725219949,photo,Instagram,0,2667,0,2667,3,2663,2294,0.014876879876004384,2682,0,2682,4,2678,65,50,15,154199,31,31,77,31,0,30,23,7,0,0,0,0,23,7,0,0,0,0,0,0,2325,,,,,,,,,30,0,30,0,0,0,0,1,1,0,1,46,,36,,10,0,0,0,0,0,0.024371953505811773,0.011623547056617924,,0.011627906976744186,0.011558538404175988,,0.011558538404175988,0.028871391076115485,0.02870991797166294,0.0004993547299269127,0.00020103891724330248,,,,,,,,,,,,,,,,,,,,,,,,0,0
BMWIndonesia,2024-04-19 19:01:51,2024-05-02 10:45:15,2024-05-02 09:44:59,"Dominate the road with THE NEW X5. Feel the dynamic luxury of every mile, empowered by cutting-edge tech. From the commanding road view to its elegant interiors, it's your pathway to excellence. Visit your preferred authorized BMW dealer to test drive or visit bmw.co.id to #BeTheBoss. #TheNewX5",https://d1fufsnuanxyqc.cloudfront.net/195487454216_837240998430155,https://www.facebook.com/644655054355418/posts/837240998430155,photo,"Leverate Socmed",0,2993,0,2993,10,2984,2674,0.017341565280552026,3116,0,3116,10,3106,105,76,29,154196,37,36,127,37,0,36,23,12,0,0,0,0,24,12,0,0,0,0,0,0,2699,,,,,,,,,36,0,35,0,0,0,0,1,1,0,1,90,,76,,14,0,0,0,0,0,0.03508185766789175,0.012362178416304711,,0.012358049432197728,0.011874197689345315,,0.011874197689345315,0.042432342131640495,0.040757381258023105,0.0008236270720381852,0.00023995434382214845,,,,,,,,,,,,,,,,,,,,,,,,0,0
